Rank,Name,Total_net_worth,Country,Industry
43,Gerard Wertheimer,$18.6B,France,Consumer
44,Rupert Murdoch,$18.4B,United States,Media & Telecom
45,Alexey Mordashov,$18.3B,Russian Federation,Industrial
46,Vladimir Lisin,$18.3B,Russian Federation,Industrial
47,Laurene Powell Jobs,$18.3B,United States,Media & Telecom
48,Wang Jianlin,$17.9B,China,Real Estate
49,Yang Huiyan,$17.7B,China,Real Estate
50,Donald Bren,$17.2B,United States,Real Estate
51,Vagit Alekperov,$17.2B,Russian Federation,Energy
52,Azim Premji,$17.1B,India,Technology
53,Joseph Safra,$17.1B,Brazil,Finance
54,Stefan Quandt,$16.8B,Germany,Industrial
55,Robert Kuok,$16.6B,Malaysia,Diversified
56,Thomas Peterffy,$16.5B,United States,Finance
57,Ron Perelman,$16.0B,United States,Diversified
58,Lee Kun Hee,$15.9B,"Korea, Republic of",Diversified
59,Ernesto Bertarelli,$15.6B,Switzerland,Diversified
60,Lukas Walton,$15.6B,United States,Retail
61,Jim Simons,$15.5B,United States,Finance
62,Stefan Persson,$15.3B,Sweden,Retail
63,Heinz Hermann Thiele,$15.3B,Germany,Industrial
64,Elaine Marshall,$15.2B,United States,Industrial
65,Iris Fontbona,$15.1B,Chile,Commodities
